ID,Question,Option A,Option B,Option C,Option D,Answer,Explanation
1,"শব্দ যখন বাক্যে ব্যবহৃত হয় তখন তাকে কি বলে?",প্রত্যয়,পদ,বিভক্তি,শব্দ,Option B,"শব্দ যখন বাক্যে স্থান পায় এবং বিভক্তিযুক্ত হয়ে অর্থ প্রকাশ করে, তখন তাকে 'পদ' বলে।"
2,"উপমান কর্মধারয় সমাস এর সঠিক উদাহরণ কোনটি?",চাঁদমুখ,তুষারশুভ্র,সিংহপুরুষ,মুখচন্দ্র,Option B,"'তুষারের ন্যায় শুভ্র' = তুষারশুভ্র। এটি উপমান কর্মধারয় সমাসের উদাহরণ।"
3,"বিশেষণ পদ এর সাথে 'কৎ' প্রত্যয়যোগে গঠিত শব্দ কোনটি?",চলন্ত,খেলোয়াড়,পানসে,লিখিত,Option C,"'পানি' (বিশেষ্য) + 'সে' = পানসে। এটি বিশেষণ হিসেবে ব্যবহৃত হয়। (Note: Based on exam marking key)."
4,"নিচের কোনটি নিপাতনে সিদ্ধ সন্ধির উদাহরণ?",গৈরিক,শৈশব,সাহিত্যিক,তস্কর,Option D,"তস্কর (তৎ + কর) একটি নিপাতনে সিদ্ধ সন্ধির উদাহরণ।"
5,"রবীন্দ্রনাথ ঠাকুরের 'গল্পগুচ্ছ' এর অন্তর্ভুক্ত গল্প নয় কোনটি?",পোস্টমাস্টার,খোকাবাবুর প্রত্যাবর্তন,কাবুলিওয়ালা,নৌকাডুবি,Option D,"'নৌকাডুবি' রবীন্দ্রনাথ ঠাকুরের একটি উপন্যাস, ছোটগল্প নয়।"
6,"'যে অন্য দিকে মন দেয় না' - এক কথায় কী হবে?",অনন্যমন,অনন্যমনা,অন্যমনা,অন্যমনস্ক,Option B,"সঠিক বাক্যটি হলো 'অনন্যমনা'।"
7,"'চর্যাপদ' মূলত কোন ভাষার আদলে রচিত?",প্রাকৃত,পালি,অপভ্রংশ,সংস্কৃত,Option C,"চর্যাপদ মূলত প্রত্ন-বাংলা বা অপভ্রংশ ভাষার আদলে রচিত।"
8,"কোনটি বিমূর্ত বিশেষ্য?",নদী,বই,সৌন্দর্য,কাঁঠাল,Option C,"'সৌন্দর্য' ধরা বা ছোঁয়া যায় না, কেবল অনুভব করা যায়, তাই এটি বিমূর্ত বিশেষ্য (Abstract Noun)।"
9,"'কাজ' শব্দটি কোন পদ?",ক্রিয়া,বিশেষ্য,সর্বনাম,বিশেষণ,Option B,"'কাজ' একটি কাজের নাম বোঝাচ্ছে, তাই এটি বিশেষ্য পদ (Noun)।"
10,"'দ্রুত' শব্দটি কোন পদ?",বিশেষ্য,ক্রিয়া বিশেষণ,বিশেষণ,অব্যয়,Option B,"'দ্রুত' ক্রিয়াকে মডিফাই করে (যেমন: দ্রুত চল), তাই এটি ক্রিয়া বিশেষণ (Adverb)।"
11,"'প্রভাতচিন্তা' কার রচিত গ্রন্থ?",বঙ্কিমচন্দ্র চট্টোপাধ্যায়,প্যারীচাঁদ মিত্র,কালীপ্রসন্ন ঘোষ,শিবনাথ শাস্ত্রী,Option C,"'প্রভাতচিন্তা' কালীপ্রসন্ন ঘোষের রচিত প্রবন্ধ গ্রন্থ।"
12,"নিপাতনে সিদ্ধ ব্যঞ্জন সন্ধি কোনটি?",কিন্তু,একাদশ,কুলটা,নিশ্চয়,Option B,"একাদশ (এক + দশ) একটি নিপাতনে সিদ্ধ সন্ধি (সাধারণত স্বরসন্ধি হিসেবে গণ্য হলেও প্রশ্নে ব্যঞ্জন সন্ধির অপশনে এটিই সঠিক উত্তর)।"
13,"'ঋজু' এর বিপরীতার্থক শব্দ কোনটি?",সোজা,সরল,বঙ্ক,অবক্র,Option C,"ঋজু অর্থ সোজা, এর বিপরীত শব্দ বঙ্ক বা বক্র (বাঁকা)।"
14,"নিচের কোনটি খাঁটি বাংলা শব্দের উদাহরণ?",ডাগর,হাত,কুলা,গোগল,Option C,"কুলা এবং ডাগর উভয়ই দেশি শব্দ, তবে কুলা খাঁটি বাংলা শব্দ হিসেবে বহুল প্রচলিত।"
15,"'দারোগা' শব্দটি কোন ভাষা থেকে বাংলা ভাষায় এসেছে?",তুর্কি,ওলন্দাজ,গুজরাটি,ফরাসি,Option A,"দারোগা একটি তুর্কি শব্দ।"
16,"'হারিকিরি' শব্দের অর্থ কি?",রিক্সা,আত্মহত্যা,আততায়ী,ঝরনা,Option B,"হারিকিরি (Harakiri) একটি জাপানি শব্দ যার অর্থ আত্মহত্যা।"
17,"জসীম উদ্দীনের 'নক্সী কাঁথার মাঠ' কাব্যগ্রন্থটি কোন ছন্দে রচিত?",অক্ষরবৃত্ত,মাত্রাবৃত্ত,স্বরবৃত্ত,গদ্য ছন্দ,Option A,"এটি পয়ার বা অক্ষরবৃত্ত ছন্দে রচিত আখ্যানকাব্য।"
18,"যার গুণ আছে, সে বিজয়ী হয় - এটি কোন ধরণের বাক্য?",সরল,যৌগিক,জটিল,মিশ্র,Option C,"'যে... সে...' সাপেক্ষ সর্বনাম ব্যবহারের কারণে এটি জটিল বাক্য।"
19,"'রঞ্জন' চরিত্রটি রবীন্দ্রনাথ ঠাকুরের কোন নাটকের?",বিসর্জন,রক্তকরবী,মুক্তধারা,ডাকঘর,Option B,"রঞ্জন 'রক্তকরবী' নাটকের একটি গুরুত্বপূর্ণ চরিত্র।"
20,"'সীমান্তে সীমিত সবুজে' কার লেখা?",আবুল হাসান,আবুল হোসেন,রফিক আজাদ,শামসুর রহমান,Option C,"'সীমাবদ্ধ জলে, সীমিত সবুজে' রফিক আজাদের কাব্যগ্রন্থ।"
21,"বাংলা সাহিত্যের 'দুঃখবাদী কবি' কে?",গোবিন্দ দাস,যতীন্দ্রনাথ সেনগুপ্ত,সুকান্ত ভট্টাচার্য,বঙ্কিমচন্দ্র চট্টোপাধ্যায়,Option B,"যতীন্দ্রনাথ সেনগুপ্তকে দুঃখবাদী কবি বলা হয়।"
22,"কোনটি 'মেঘ' শব্দের প্রতিশব্দ নয়?",বারিদ,অন্তরীক্ষ,জলদ,জীমূত,Option B,"অন্তরীক্ষ অর্থ আকাশ, মেঘ নয়। বাকিগুলো মেঘের প্রতিশব্দ।"
23,"কাজী নজরুল ইসলাম পরিচালিত চলচ্চিত্র কোনটি?",ধ্রুব,ধূপছায়া,রুমঝুম,শতদল,Option A,"'ধ্রুব' চলচ্চিত্রটি কাজী নজরুল ইসলাম পরিচালনা করেন এবং এতে অভিনয়ও করেন।"
24,"নিচের কোনটি সমার্থক শব্দ নয়?",গোল্লাগুলি,লেনদেন,সাজসজ্জা,খাইখাই,Option B,"লেনদেন (দেওয়া ও নেওয়া) বিপরীতার্থক শব্দ, সমার্থক নয়।"
25,"'দামিনী' শব্দের অর্থ হলো:",পৃথিবী,অগ্নি,বিদ্যুৎ,মেঘ,Option C,"দামিনী শব্দের অর্থ বিদ্যুৎ (Lightning)। যামিনী অর্থ রাত।"
26,"Choose the antonym of 'loquacious':",voluble,garrulous,taciturn,articulate,Option C,"Loquacious means talkative. Taciturn means quiet/reserved."
27,"Choose the synonym of 'invective':",praise,Diatribe,diabolical,silence,Option B,"Invective means abusive language. Diatribe means a forceful verbal attack."
28,"Choose the antonym of 'promulgate':",propagate,suppress,advertise,dignify,Option B,"Promulgate means to announce/spread. Suppress means to hide/prevent spread."
29,"Which of the following is a figure of speech that involves exaggeration?",analogy,personification,hyperbole,metaphor,Option C,"Hyperbole is the literary device for exaggeration."
30,"Which of the following is not a novel?",Pride and Prejudice,Great Expectations,Babu Bangladesh,The Waste Land,Option D,"The Waste Land is a poem by T.S. Eliot."
31,"The central idea or underlying message conveyed by a text is referred to as its:",motif,theme,tone,mood,Option B,"The theme is the main subject or underlying meaning."
32,"Which literary device is used when a part represents the whole?",irony,alliteration,synecdoche,analogy,Option C,"Synecdoche is when a part stands for the whole (e.g., 'wheels' for a car)."
33,"Neither the students nor the teacher ____ to continue the discussion.",was willing,were willing,was will,be willing,Option A,"With 'neither/nor', the verb agrees with the closer subject ('teacher' -> singular)."
34,"The manager insisted that every employee ____ on time.",arrive,is arriving,arrives,arrived,Option A,"Subjunctive mood requires the base form 'arrive'."
35,"The proposal, along with its attachments, ____ reviewed thoroughly.",was,are,have been,to,Option A,"The subject 'The proposal' is singular; 'along with' does not make it plural."
36,"Sorry, but I have not ____ fixing the tap yet.",got up to,got on,got round to,got across,Option C,"'Get round to' means to find the time to do something."
37,"The scientist's explanation was so ____ that even experts struggled to understand it.",coherent,esoteric,prescient,simple,Option B,"Esoteric means understood by only a few with specialized knowledge."
38,"The number of applicants ____ compared to last year.",have risen,has risen,have raised,has raised,Option B,"'The number' is singular, so it takes 'has risen'."
39,"The scientist's theory, though brilliant, still remains ____ by concrete evidence.",unsubstantiated,incontrovertible,validated,fortified,Option A,"Unsubstantiated means not proven by evidence."
40,"The committee was divided, but his proposal was accepted ____ its controversial nature.",in light of,notwithstanding,due to,because,Option B,"Notwithstanding means 'despite'."
41,"She delivered a ____ presentation that impressed the entire panel.",compelling,confusing,libelous,pedantic,Option A,"Compelling means evoking interest or admiration."
42,"The most famous satirist in English literature is:",Jonathan Swift,Joseph Addison,Alexander Pope,Richard Steel,Option A,"Jonathan Swift (Gulliver's Travels) is the most famous satirist."
43,"'To throw in the towel' means:",to start a fight,to delay a task,to get angry,to give up,Option D,"An idiom from boxing meaning to surrender or quit."
44,"If something is in a state of flux, it means:",constantly changing,very risky,always stable,old,Option A,"Flux means continuous change."
45,"'Raise the bar' means:",delimiting,set higher standards,ignore performance,appeasement,Option B,"To set a higher standard or goal."
46,"'Cutting corners' means:",ahead of schedule,managing efficiently,doing incompletely,avoiding expenses,Option D,"Doing something cheaply/poorly to save money or time."
47,"In which play, the famous line 'to be or not to be' appears?",Othello,Macbeth,Hamlet,King Lear,Option C,"From Shakespeare's Hamlet."
48,"The warning of the authority falls on deaf ears. Here 'warning' does the function of:",noun,adverb,adjective,verb,Option A,"It is the subject of the sentence, acting as a Noun."
49,"One who talks while asleep is called:",Somnambulist,Somniloquist,Somniferous,Sleeptalker,Option B,"Somniloquist refers to a sleep-talker."
50,"In which literary group, Virginia Woolf was a key figure?",Beat Generation,X-Generation,Bloomsbury Group,Pre-Raphaelite,Option C,"Virginia Woolf was a central member of the Bloomsbury Group."
51,"A technician charges a Tk. 50 service fee plus Tk. 30 per hour. Total Tk. 200. Max hours?",6,4,3,5,Option D,"200 = 50 + 30h -> 150 = 30h -> h = 5."
52,"Stock +20% (Jan), -10% (Feb). End price 108. Start price?",Tk. 90,Tk. 96,Tk. 100,Tk. 102,Option C,"1.2 * 0.9 = 1.08. Price = 108 / 1.08 = 100."
53,"Class of 40: 18 French, 15 Spanish, 7 Both. How many neither?",0,7,10,14,Option D,"Total(40) - (18+15-7) = 40 - 26 = 14."
54,"A:B = 2:3, B:C = 4:5. If A=16, C=?",15,20,24,30,Option D,"A=16 -> B=24 -> C=30."
55,"Markup 40%, Discount 15%. Profit %?",19%,25%,20%,23%,Option A,"MP=140. Disc=21. SP=119. Profit=19%."
56,"Money doubles in 8 years (Simple Interest). When 4 times?",24,32,28,30,Option A,"Doubles (1 unit interest) = 8 yrs. 4x (3 units interest) = 3 * 8 = 24 yrs."
57,"12 workers in 15 days. 9 workers take how long?",18,20,24,25,Option B,"(12 * 15) / 9 = 180 / 9 = 20 days."
58,"3^(x+y) = 9^4, 2^(x-y) = 16. Value of x^2 - y^2?",12,16,24,32,Option D,"x+y=8, x-y=4. (x^2-y^2) = (8)(4) = 32."
59,"If a, b are positive real numbers, (a^b - 3b)^0 = ?",0,1,32,32,Option B,"Any non-zero number to the power of 0 is 1."
60,"Solve: 4(x-6) + 4 < 8(x-4)",X < 3,x > 3,x > 4,x < 4,Option B,"4x - 20 < 8x - 32 -> 12 < 4x -> x > 3."
61,"Solve for x: log_2(x+3) = 4",1,19,13,8,Option C,"2^4 = x+3 -> 16 = x+3 -> x = 13."
62,"Area ratio 4:9. Smaller perimeter 20. Larger perimeter?",25,30,35,45,Option B,"Ratio of perimeters = sqrt(4/9) = 2/3. 20/P = 2/3 -> P=30."
63,"Trapezoid bases 10 & 16, height 4. Area?",48,52,56,104,Option B,"Area = 0.5 * (10+16) * 4 = 13 * 4 = 52."
64,"Cube surface area 96. Longest stick?",8,4√3,4√2,6√2,Option B,"6a^2=96 -> a=4. Diagonal = a√3 = 4√3."
65,"Rectangle diagonal 13, width 5. Perimeter?",30,34,36,48,Option B,"Length = sqrt(13^2 - 5^2) = 12. P = 2(12+5) = 34."
66,"Cube surface area 150. Volume?",25,64,100,125,Option D,"6a^2=150 -> a=5. Vol = 125."
67,"Slope perpendicular to y = (1/3)x - 7",-3,4,1/3,-1/3,Option A,"Negative reciprocal of 1/3 is -3."
68,"Line slope 2, x-intercept (-4, 0). Equation?",y = 2x + 8,y = -2x + 4,y = 1/2x + 8,y = -1/2x + 8,Option A,"y - 0 = 2(x - (-4)) -> y = 2x + 8."
69,"Box: 3 Blue, 2 White, 4 Red. Prob(Not White)?",2/9,7/9,1/3,2/3,Option B,"Total=9. Not white = 7. Prob = 7/9."
70,"Right triangle sides 6, 8, 10. Area?",24 cm²,30 cm²,48 cm²,60 cm²,Option A,"0.5 * 6 * 8 = 24."
71,"Name of FIFA World Cup 2026 official match ball?",Tango,Trionda,Twister,Tricolor,Option B,"The official ball is named Trionda."
72,"Gradual decrease in price level is called:",Inflation,Deflation,Devaluation,Stagflation,Option B,"Deflation is the decrease in general price levels."
73,"Which is not an Arab country?",Iraq,Egypt,Iran,Syria,Option C,"Iran is Persian, not Arab."
74,"Largest portion of Earth's atmosphere?",Oxygen,Carbon dioxide,Nitrogen,Hydrogen,Option C,"Nitrogen makes up ~78%."
75,"Special Drawing Rights (SDR) is associated with?",IMF,WTO,WHO,OECD,Option A,"SDR is an asset of the IMF."
76,"Name of the first computer virus?",Creeper,Conficker,Stuxnet,Tinba,Option A,"Creeper (early 1970s) is widely cited as the first."
77,"What does QR stand for?",Quick Response,Qualified Restraint,Quartz Repeat,Quick Resonance,Option A,"Quick Response Code."
78,"Name of world's first artificial satellite?",PROBA,Sputnik 1,Palapa A1,Explorer 1,Option B,"Sputnik 1 (Soviet Union, 1957)."
79,"Largest topographic region of Bangladesh?",Delta,Alluvial,Tippara,Hilly,Option A,"The Ganges-Brahmaputra Delta."
80,"Largest volcano of the world by elevation?",Ojos del Salado,Incahuasi,Llullaillaco,Tupungato,Option A,"Ojos del Salado (6893m)."
81,"Word reading same backward as forward?",Syntax,Palindrome,Sibrail,Dictoverse,Option B,"Example: Madam, Racecar."
82,"Theory that Earth revolves around the sun?",Heliocentrism,Planetology,Cosmology,Soloristry,Option A,"Heliocentrism (Sun-centered)."
83,"Rarest and most expensive spice by weight?",Saffron,Asafoetida,Fenugreek,Anis,Option A,"Saffron."
84,"Animals that maintain constant body temperature?",Saola,Vaquita,Endotherms,Rhinoceros,Option C,"Endotherms (warm-blooded)."
85,"Latest general circulation coins issued in Bangladesh in year:",2014,2015,2024,2025,Option A,"The 1 Taka stainless steel coin (2014) was the last major series update."
86,"Letters used for expressing emotion by ancient Egyptians?",Caroglyphics,Rogroglyphics,Namoroglyphics,Hieroglyphics,Option D,"Hieroglyphics (Writing system)."
87,"Largest producer of cocoa beans globally?",Ghana,Ivory Coast,Chad,Cameroon,Option B,"Ivory Coast (Côte d'Ivoire)."
88,"Who wrote the book 'World Order'?",Hillary Clinton,Henry Kissinger,Ronald Reagan,John Kennedy,Option B,"Henry Kissinger (2014)."
89,"First country to launch functional CBDC?",Sweden,China,Bahamas,Nigeria,Option C,"The Bahamas launched the 'Sand Dollar' in 2020."
90,"Position of Bangla among most spoken languages?",3rd,5th,7th,9th,Option C,"Bangla is the 7th most spoken language."
91,"Which is a logical operator?",+,&&,*,=,Option B,"&& is the Logical AND operator."
92,"Use of 'CAPTCHA' in online banking?",Encryption,Authentication,Blocking bots,Improving speed,Option C,"To distinguish humans from automated bots."
93,"Wi-Fi is based on:",IEEE 208.11,IEEE 802.11,IEEE 802.15,IEEE 208.15,Option B,"IEEE 802.11 standards."
94,"Which is not an IT certification?",CCNA,CompTIA A+,GISF,DigiSec,Option D,"DigiSec is not a standard/major certification name like the others."
95,"Not one of the 'three Vs' of Big Data?",Variety,Visibility,Volume,Velocity,Option B,"The 3 Vs are Volume, Velocity, and Variety."
96,"Which one is not a leading AI startup?",OpenAI,xAI,Cohere,nVidia,Option D,"nVidia is a major hardware corporation, not a startup."
97,"Time complexity of searching balanced BST?",O(1),O(n log n),O(log n),O(n),Option C,"Logarithmic time O(log n)."
98,"Which is not a guided media?",Optical fiber,Coaxial cable,Radio waves,Twisted pair,Option C,"Radio waves are unguided (wireless)."
99,"DNS record mapping domain to IPv4?",AAA Record,CNAME Record,MX Record,A Record,Option D,"A Record maps to IPv4."
100,"Chatbot like ChatGPT is an example of:",Symbolic AI,Generative AI,Embedded AI,Reactive AI,Option B,"Generative AI creates new content."